time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-31T17:13:50.820Z,48.595,-123.099,11.66,2.6,ml,26,79,,0.25,uw,uw61565512,2020-05-15T14:38:15.411Z,"9 km NW of Friday Harbor, Washington",earthquake,0.39,0.95,0.161155136208884,14,reviewed,uw,uw
2019-12-31T17:06:30.580Z,32.7353333,-115.4151667,12.12,2.52,ml,32,35,0.0747,0.23,ci,ci39018839,2020-01-02T23:13:24.210Z,"9km SSW of Holtville, CA",earthquake,0.29,0.61,0.231,22,reviewed,ci,ci
2019-12-30T23:31:43.630Z,35.9461667,-120.0093333,7.1,2.75,md,60,73,0.23,0.17,nc,nc73321576,2020-01-10T01:22:03.353Z,"8km SSW of Kettleman City, CA",earthquake,0.48,0.94,0.136,39,reviewed,nc,nc
2019-12-30T23:28:51.330Z,37.7113333,-122.1111667,5.7,2.64,md,109,16,0.01433,0.11,nc,nc73321571,2022-10-25T19:48:55.278Z,"3km NW of Castro Valley, CA",earthquake,0.11,0.22,0.15,95,reviewed,nc,nc
2019-12-30T22:01:13.940Z,35.7656667,-117.5735,6.24,2.54,ml,39,46,0.05364,0.13,ci,ci39017999,2020-01-02T22:54:10.440Z,"15km W of Searles Valley, CA",earthquake,0.12,0.46,0.148,21,reviewed,ci,ci
2019-12-30T22:00:10.704Z,43.9087,-111.0947,7.51,3.1,ml,,83,0.275,0.32,us,us70006spn,2023-12-08T23:30:56.605Z,"11 km NNE of Tetonia, Idaho",earthquake,1,4.5,0.059,38,reviewed,us,us
2019-12-30T19:57:02.690Z,41.4988333,-108.7973333,6.48,2.7,ml,13,185,0.5438,0.17,uu,uu60355827,2019-12-30T20:15:24.010Z,"17 km E of Sweeney Ranch, Wyoming",earthquake,0.63,1.11,0.251,4,reviewed,uu,uu
2019-12-30T18:41:34.880Z,33.5776667,-116.8168333,4.68,2.53,ml,111,15,0.04683,0.21,ci,ci39017831,2022-08-08T17:47:19.848Z,"14km W of Anza, CA",earthquake,0.11,0.37,0.066,23,reviewed,ci,ci
2019-12-30T18:22:28.179Z,43.6114,-105.2115,0,3.2,ml,,79,0.991,0.86,us,us70006skh,2020-03-14T22:23:05.040Z,"27 km SE of Wright, Wyoming",mining explosion,4.4,1.7,0.05,52,reviewed,us,us
2019-12-30T16:03:27.850Z,33.223,-116.7495,9.22,2.59,ml,100,17,0.01509,0.2,ci,ci39017695,2020-01-02T22:17:46.460Z,"2km SSE of Lake Henshaw, CA",earthquake,0.12,0.35,0.18,23,reviewed,ci,ci
2019-12-30T13:26:18.880Z,38.798,-122.7776667,4.23,2.52,md,64,37,0.009346,0.06,nc,nc73321416,2020-01-10T02:49:03.255Z,"3km NW of The Geysers, CA",earthquake,0.11,0.17,0.185,54,reviewed,nc,nc
2019-12-30T10:41:05.640Z,35.8666667,-117.7015,8.11,2.92,ml,52,22,0.01898,0.16,ci,ci39017359,2021-10-12T18:19:19.780Z,"20km ESE of Little Lake, CA",earthquake,0.13,0.3,0.193,76,reviewed,ci,ci
2019-12-30T05:57:55.689Z,36.87433333,-97.91333333,7.35,3.73,ml,87,80,0,0.18,ok,ok2019znrk,2020-03-14T22:23:17.040Z,"1 km SE of Wakita, Oklahoma",earthquake,,0.5,0.22,31,reviewed,ok,ok
2019-12-30T04:16:40.120Z,36.653,-121.2746667,5.76,2.65,md,57,66,0.05295,0.1,nc,nc73321286,2022-08-08T17:44:53.728Z,"16km SSE of Tres Pinos, CA",earthquake,0.15,0.55,0.188,61,reviewed,nc,nc
2019-12-30T03:01:14.283Z,32.0402,-103.7668,5,2.5,ml,,33,0.242,0.17,us,us70006sbn,2020-03-14T22:23:20.040Z,"35 km SE of Malaga, New Mexico",earthquake,0.9,1.9,0.105,12,reviewed,us,us
2019-12-30T02:26:09.790Z,40.461,-124.7205,24.74,2.66,md,31,294,0.2926,0.19,nc,nc73321246,2020-01-08T04:11:02.647Z,"40km WNW of Petrolia, CA",earthquake,0.9,4.06,0.247,31,reviewed,nc,nc
2019-12-30T01:19:04.360Z,38.0818333,-118.8353333,10.28,2.78,ml,39,128,0.3317,0.05,nc,nc73321231,2020-03-14T22:23:21.040Z,"21km SE of Bodie, CA",earthquake,0.28,1.49,0.218,27,reviewed,nc,nc
2019-12-29T16:29:20.601Z,31.7491,-104.1652,5,2.8,ml,,51,0.118,0.42,us,us70006s7r,2020-03-14T22:23:28.040Z,"51 km SSE of Whites City, New Mexico",earthquake,0.9,1.8,0.064,66,reviewed,us,us
2019-12-29T06:45:05.475Z,31.8932,-114.769,10,2.7,ml,,79,0.694,0.54,us,us70006s4f,2020-03-14T22:23:38.040Z,"24 km SE of Ejido Doctor Alberto Oviedo Mota (El Indiviso), Mexico",earthquake,2.3,1.4,0.059,38,reviewed,us,us
2019-12-29T06:08:46.844Z,31.6439,-104.3129,5,2.9,mb_lg,,67,0.375,0.29,us,us70006s47,2020-03-14T22:23:39.040Z,"59 km S of Whites City, New Mexico",earthquake,1,1.9,0.079,61,reviewed,us,us
2019-12-29T01:46:40.610Z,38.08,-118.8358333,11.08,2.82,ml,31,139,0.3298,0.05,nc,nc73320906,2020-01-08T23:09:04.342Z,"21km SE of Bodie, CA",earthquake,0.41,1.84,0.234,15,reviewed,nc,nc
2019-12-28T17:23:32.020Z,33.9266667,-117.8765,8.66,3.2,ml,136,16,0.04347,0.24,ci,ci39015759,2021-04-05T12:44:02.486Z,"2km ENE of Brea, CA",earthquake,0.13,0.36,0.152,218,reviewed,ci,ci
2019-12-28T10:54:42.576Z,31.1461,-103.2453,5,3,mb_lg,,51,0.021,0.55,us,us70006rvb,2020-03-14T22:23:58.040Z,"20 km WSW of Coyanosa, Texas",earthquake,1.5,1.5,0.079,61,reviewed,us,us
2019-12-28T08:43:29.510Z,35.615,-117.4196667,9.24,3.15,ml,62,31,0.03431,0.15,ci,ci39015367,2022-06-16T17:47:34.871Z,"17km SSW of Trona, CA",earthquake,0.13,0.21,0.145,112,reviewed,ci,ci
2019-12-28T07:35:17.660Z,35.8236667,-117.6456667,3.82,2.51,ml,39,35,0.03993,0.13,ci,ci39015311,2020-01-02T18:37:56.350Z,"23km WNW of Searles Valley, CA",earthquake,0.12,0.33,0.188,24,reviewed,ci,ci
2019-12-28T07:11:47.710Z,33.177,-116.372,11.54,2.77,ml,87,25,0.09852,0.2,ci,ci39015247,2020-01-02T18:08:32.740Z,"9km S of Borrego Springs, CA",earthquake,0.18,0.45,0.231,24,reviewed,ci,ci
2019-12-27T02:21:47.900Z,35.7686667,-117.5935,7.97,3.95,ml,55,42,0.005364,0.17,ci,ci39014215,2021-10-12T17:49:48.620Z,"17km W of Searles Valley, CA",earthquake,0.15,0.28,0.157,134,reviewed,ci,ci
2019-12-26T20:39:03.010Z,31.0074,-103.546,4.21,2.6,ml,,69,0.081,0.46,us,us70006rbt,2020-03-14T22:24:23.040Z,"19 km E of Balmorhea, Texas",earthquake,1.5,4.5,0.056,42,reviewed,us,us
2019-12-26T19:48:23.610Z,37.5821667,-118.8218333,9.9,3.62,mw,33,94,0.009746,0.06,nc,nc73319936,2020-04-05T20:46:43.324Z,"13km W of Toms Place, CA",earthquake,0.32,0.44,,4,reviewed,nc,nc
2019-12-26T08:13:47.250Z,39.3505,-119.993,9,2.7,ml,30,35.13,0.067,0.1371,nn,nn00714016,2021-04-25T15:43:57.127Z,"5 km SSE of Floriston, California",earthquake,,1,0.45,6,reviewed,nn,nn
2019-12-26T04:12:00.180Z,35.9498333,-117.368,2.48,3.32,ml,47,38,0.09043,0.15,ci,ci39013663,2021-10-12T17:33:15.860Z,"20km N of Searles Valley, CA",earthquake,0.15,0.36,0.127,268,reviewed,ci,ci
2019-12-25T23:15:05.890Z,32.9236667,-119.1581667,5.83,3.74,ml,11,308,0.5656,0.14,ci,ci39013463,2020-03-14T22:24:41.040Z,"48km SE of San Nicolas Is., CA",earthquake,0.74,31.61,0.152,41,reviewed,ci,ci
2019-12-25T13:58:22.894Z,44.2122,-114,16.77,2.8,ml,,47,0.439,0.9,us,us70006qyi,2020-04-01T01:02:57.394Z,"32 km E of Clayton, Idaho",earthquake,2.8,8.2,0.036,100,reviewed,us,us
2019-12-25T11:24:33.350Z,35.90733333,-98.52316667,7.53,3.38,ml,52,42,0,0.16,ok,ok2019zeyr,2020-03-14T22:24:54.040Z,"12 km NW of Watonga, Oklahoma",earthquake,,0.4,0.2,16,reviewed,ok,ok
2019-12-25T09:32:45.930Z,35.9816667,-117.4078333,1.51,2.84,ml,47,45,0.1357,0.16,ci,ci39012911,2021-08-12T16:35:34.960Z,"24km N of Searles Valley, CA",earthquake,0.15,0.38,0.162,20,reviewed,ci,ci
2019-12-25T09:17:09.840Z,31.4881667,-115.5438333,5.52,2.85,ml,16,119,0.2268,0.27,ci,ci39012887,2020-01-14T17:25:01.839Z,"90km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.29,31.61,0.179,31,reviewed,ci,ci
2019-12-25T07:33:57.780Z,36.29233333,-98.1755,6.69,2.89,ml,70,73,0,0.19,ok,ok2019zerb,2020-03-14T22:24:58.040Z,"5 km N of Ames, Oklahoma",earthquake,,0.5,0.23,30,reviewed,ok,ok
2019-12-25T05:54:54.570Z,35.9428333,-117.723,3,2.52,ml,50,42,0.04396,0.18,ci,ci39012767,2021-08-14T02:05:37.920Z,"17km E of Little Lake, CA",earthquake,0.16,0.28,0.126,112,reviewed,ci,ci
2019-12-25T04:12:57.310Z,37.5638333,-118.8633333,3.79,2.5,md,29,95,0.03772,0.03,nc,nc73319271,2020-02-27T21:52:39.640Z,"13km SE of Mammoth Lakes, CA",earthquake,0.2,0.53,0.278,35,reviewed,nc,nc
2019-12-25T01:24:15.890Z,33.7098333,-116.7803333,15.79,2.89,ml,124,12,0.05517,0.2,ci,ci39012591,2019-12-26T22:18:35.810Z,"7km WSW of Idyllwild, CA",earthquake,0.11,0.26,0.14,250,reviewed,ci,ci
2019-12-24T23:47:02.430Z,35.9918333,-119.9496667,22.85,2.93,md,88,24,0.2802,0.22,nc,nc73319181,2020-05-04T07:58:56.137Z,"2km SSE of Kettleman City, CA",earthquake,0.31,0.42,0.221,75,reviewed,nc,nc
2019-12-24T22:00:17.820Z,36.30166667,-98.14716667,6.39,2.6,ml,68,71,0,0.16,ok,ok2019zdyd,2020-03-14T22:25:08.040Z,"7 km NNE of Ames, Oklahoma",earthquake,,0.3,0.21,31,reviewed,ok,ok
2019-12-24T21:13:51.805Z,43.7524,-105.3392,0,3.4,ml,,80,1.011,0.69,us,us70006qqs,2020-03-14T22:25:08.040Z,"12 km E of Wright, Wyoming",mining explosion,5.1,1.7,0.049,64,reviewed,us,us
2019-12-24T19:44:03.540Z,36.86733333,-97.776,7.3,2.58,ml,99,64,0,0.22,ok,ok2019zdtr,2020-03-14T22:25:10.040Z,"7 km NNW of Medford, Oklahoma",earthquake,,0.5,0.21,31,reviewed,ok,ok
2019-12-24T16:55:01.250Z,39.7161674,-121.4834976,32.4,2.5,md,8,169,0.529,0.19,nc,nc73319036,2019-12-24T18:05:02.796Z,"4km SE of Concow, CA",earthquake,3.99,5.22,0.2,7,automatic,nc,nc
2019-12-24T14:26:57.010Z,33.6023333,-118.3866667,14.26,2.74,ml,81,121,0.1345,0.3,ci,ci39011903,2020-04-22T07:37:33.573Z,"16km S of Rancho Palos Verdes, CA",earthquake,0.3,0.53,0.145,238,reviewed,ci,ci
2019-12-24T09:10:02.770Z,35.8516667,-117.6868333,6.42,2.82,ml,51,32,0.03678,0.15,ci,ci39011687,2021-08-12T15:14:08.230Z,"22km ESE of Little Lake, CA",earthquake,0.11,0.3,0.15,23,reviewed,ci,ci
2019-12-24T08:17:10.750Z,39.5668333,-123.371,6.92,2.59,md,25,61,0.1011,0.13,nc,nc73318861,2021-03-12T06:11:57.310Z,"14km N of Brooktrails, CA",earthquake,0.25,0.75,0.089,26,reviewed,nc,nc
2019-12-24T06:33:59.540Z,38.817,-122.7628333,2.47,3.16,ml,90,43,0.01454,0.08,nc,nc73318771,2020-12-31T04:41:18.114Z,"4km W of Cobb, CA",earthquake,0.12,0.17,0.171,57,reviewed,nc,nc
2019-12-24T00:54:38.240Z,36.676,-121.2946667,2.33,2.87,md,61,55,0.04086,0.1,nc,nc73318686,2022-03-18T04:18:48.930Z,"13km S of Tres Pinos, CA",earthquake,0.13,0.59,0.153,121,reviewed,nc,nc
2019-12-24T00:25:41.680Z,32.6014,-109.133,5,3.2,ml,,73,0.059,1.39,us,us70006qd9,2020-03-14T22:25:22.040Z,"9 km SSW of Franklin, Arizona",earthquake,1.6,1.6,0.062,34,reviewed,us,us
2019-12-23T23:42:20.570Z,44.5855,-110.6041667,4.26,2.72,ml,29,69,0.0342,0.22,uu,uu60355402,2020-06-19T17:40:40.570Z,"40 km ESE of West Yellowstone, Montana",earthquake,0.36,0.69,0.123,6,reviewed,uu,uu
2019-12-23T22:34:08.160Z,41.5218333,-110.0263333,60.47,3.18,ml,26,62,0.1409,0.24,uu,uu60355392,2020-03-07T17:47:53.040Z,"9 km SSW of Granger, Wyoming",earthquake,0.73,31.61,0.271,16,reviewed,uu,uu
2019-12-23T16:48:45.050Z,36.6453333,-121.2576667,4.98,2.55,md,47,67,0.05732,0.07,nc,nc73318516,2020-08-08T00:41:52.090Z,"16km NW of Pinnacles, CA",earthquake,0.16,0.53,0.237,47,reviewed,nc,nc
2019-12-23T04:18:03.730Z,37.4608333,-118.8051667,4.03,2.68,md,32,119,0.1163,0.05,nc,nc73318346,2020-04-04T03:31:44.050Z,"16km SW of Toms Place, CA",earthquake,0.26,1.5,0.207,42,reviewed,nc,nc
2019-12-22T21:03:20.730Z,35.12433333,-95.374,7.89,2.55,ml,61,131,0.1097784577,0.22,ok,ok2019zafg,2020-03-07T17:47:48.040Z,"0.3 km WNW of Quinton, OK",earthquake,,0.4,0.16,12,reviewed,ok,ok
2019-12-22T17:22:34.586Z,37.5194,-115.772,0.7,2.5,ml,34,108.99,0.127,0.2107,nn,nn00713703,2020-03-07T17:47:46.040Z,"14 km S of Rachel, Nevada",earthquake,,3,0.29,9,reviewed,nn,nn
2019-12-22T11:03:38.816Z,42.5969,-107.8009,10,2.5,ml,,109,0.944,0.81,us,us70006psg,2020-03-07T17:47:45.040Z,"Wyoming",earthquake,3.8,2,0.059,38,reviewed,us,us
2019-12-22T03:54:57.640Z,37.3179,-114.3575,6.5,2.6,ml,11,102.51,0.383,0.1727,nn,nn00713651,2020-03-07T17:47:54.040Z,"35 km SSE of Caliente, Nevada",earthquake,,3.5,0.08,2,reviewed,nn,nn
2019-12-21T22:39:45.020Z,35.867,-117.6781667,5.32,2.58,ml,55,23,0.02844,0.16,ci,ci39009119,2021-08-12T17:40:25.600Z,"22km ESE of Little Lake, CA",earthquake,0.13,0.36,0.194,19,reviewed,ci,ci
2019-12-21T17:06:51.563Z,31.6578,-104.2234,7.44,2.8,ml,,56,0.32,0.4,us,us70006pgj,2020-03-07T17:47:42.040Z,"55 km NW of Toyah, Texas",earthquake,1.7,1.6,0.097,80,reviewed,us,us
2019-12-21T15:37:49.201Z,37.3439,-114.3477,3.6,2.9,ml,16,94.23,0.388,0.1658,nn,nn00713601,2020-03-07T17:47:42.040Z,"33 km SSE of Caliente, Nevada",earthquake,,2.1,0.4,7,reviewed,nn,nn
2019-12-21T08:24:32.620Z,35.6466667,-117.458,4.34,3.91,mw,64,38,0.01601,0.15,ci,ci39008311,2021-10-12T17:55:54.320Z,"14km SSW of Searles Valley, CA",earthquake,0.11,0.22,,4,reviewed,ci,ci
